listing_date,company_name,corp_code,stock_code,matched_name,match_quality,manual_check_needed,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,notes,candidates
2023-11-13,에스와이스틸텍,01135084,365330,에스와이스틸텍,exact,False,20.0,36.0,28.0,,
2023-11-13,에이직랜드,01540453,445090,에이직랜드,exact,False,30.96,38.38,34.67,,
2023-11-09,메가터치,00923516,446540,메가터치,exact,False,19.83,29.85,24.84,,
2023-11-02,유진테크놀로지,01085026,240600,유진테크놀로지,exact,False,30.55,38.69,34.62,,
2023-10-26,워트,00866451,396470,워트,exact,False,12.43,21.81,17.12,,
2023-10-20,에스엘에스바이오,01112700,246250,에스엘에스바이오,exact,False,7.55,19.35,13.45,,
2023-10-19,신성에스티,00761183,416180,신성에스티,exact,False,29.3,37.78,33.54,,
2023-10-18,퓨릿,01027828,445180,퓨릿,exact,False,28.0,40.5,34.25,,
2023-10-06,레뷰코퍼레이션,01468061,443250,레뷰코퍼레이션,exact,False,22.43,32.42,27.425,,
2023-10-04,한싹,01602638,430690,한싹,exact,False,20.01,35.28,27.645,,
2023-09-25,인스웨이브시스템즈,,,,not_found,True,38.96,49.14,44.05,,
2023-08-17,빅텐츠,,,,not_found,True,21.56,28.38,24.97,,
2023-08-10,코츠테크놀로지,00959210,448710,코츠테크놀로지,exact,False,23.69,33.65,28.67,,
2023-08-04,엠아이큐브솔루션,01497142,373170,엠아이큐브솔루션,exact,False,24.48,35.81,30.145,,
2023-07-27,에이엘티,00493325,172670,에이엘티,exact,False,24.48,38.48,31.48,,
2023-07-24,뷰티스킨,01147487,406820,뷰티스킨,exact,False,6.69,18.36,12.525,,
2023-07-14,필에너지,01488320,378340,필에너지,exact,False,20.73,30.5,25.615,,
2023-06-29,시큐센,,,,not_found,True,13.95,28.29,21.12,,
2023-06-08,마녀공장,01136977,439090,마녀공장,exact,False,37.32,46.28,41.8,,
2023-06-02,나라셀라,01021639,405920,나라셀라,exact,False,21.52,34.6,28.06,,
2023-06-01,진영,00816933,285800,진영,exact,False,31.41,41.21,36.31,,
2023-05-24,기가비스,00765569,420770,기가비스,exact,False,39.0,47.14,43.07,,
2023-05-17,트루엔,01134216,417790,트루엔,exact,False,23.47,36.22,29.845,,
2023-04-27,토마토시스템,01436479,393210,토마토시스템,exact,False,21.35,35.52,28.435,,
2023-03-29,LB인베스트먼트,00231901,309960,LB인베스트먼트,exact,False,19.78,30.79,25.285,,
2023-03-13,금양그린파워,00872656,282720,금양그린파워,exact,False,33.41,44.23,38.82,,
2023-03-03,나노팀,01524118,417010,나노팀,exact,False,22.21,31.19,26.7,,
2023-03-02,바이오인프라,01110058,199730,바이오인프라,exact,False,25.64,36.26,30.95,,
2023-02-20,이노진,01419135,344860,이노진,exact,False,6.6,22.17,14.385,,
2023-02-09,꿈비,01586455,407400,꿈비,exact,False,13.18,22.83,18.005,,
2023-02-07,스튜디오미르,01139965,408900,스튜디오미르,exact,False,20.8,38.0,29.4,,
2023-02-03,삼기이브이,,,,not_found,True,10.98,25.51,18.245,,
2023-01-27,미래반도체,00299844,254490,미래반도체,exact,False,10.72,21.14,15.93,,
2023-01-19,한주라이트메탈,00156600,198940,한주라이트메탈,exact,False,32.2,40.95,36.575,,
